iter	Precision	Logloss
0	0.7223796034	0.6549725517
1	0.8101736973	0.6230234507
2	0.8269720102	0.585664359
3	0.8401486989	0.5582020921
4	0.8343337335	0.5251317506
5	0.8210161663	0.5026686126
6	0.8337320574	0.4812787808
7	0.8315282792	0.4629359332
8	0.8365155131	0.4443374846
9	0.8270588235	0.4265396997
10	0.835125448	0.4126695923
11	0.8341463415	0.4017154921
12	0.8349633252	0.3889376665
13	0.8432835821	0.3786977568
14	0.8458646617	0.3695879878
15	0.8521303258	0.3582513358
16	0.8569620253	0.3495633988
17	0.8722294654	0.3429457606
18	0.8843085106	0.3370114651
19	0.8873994638	0.3307131083
20	0.8948787062	0.3233008398
21	0.8983957219	0.317751739
22	0.8933333333	0.3119810451
23	0.8974700399	0.306642865
24	0.8985313752	0.3015709844
25	0.9029649596	0.296927528
26	0.9029649596	0.2860862732
27	0.9048257373	0.2772984563
28	0.9072580645	0.2743083305
29	0.908847185	0.2703872657
30	0.9121171771	0.2669871743
31	0.9139072848	0.2636387328
32	0.9125827815	0.2606017382
33	0.9151193634	0.253932976
34	0.9155672823	0.251492599
35	0.914586071	0.2462086514
36	0.914921466	0.2408112792
37	0.9190600522	0.2381947241
38	0.9180754226	0.2348674928
39	0.9183937824	0.2324803914
40	0.9196891192	0.2303242167
41	0.92	0.2255103829
42	0.9182630907	0.2215169109
43	0.9233716475	0.2196673543
44	0.9222929936	0.2175492326
45	0.9239543726	0.2158541436
46	0.9252217997	0.2142321766
47	0.9283018868	0.212849911
48	0.9300873908	0.2115231134
49	0.9302615193	0.2099432252
50	0.9303178484	0.2083390717
51	0.9304029304	0.2064872534
52	0.9304878049	0.2052528249
53	0.9317073171	0.2028738719
54	0.9304878049	0.2016416633
55	0.9304878049	0.2005194393
56	0.9319562576	0.1978370954
57	0.9325301205	0.1953908737
58	0.9313253012	0.1945148199
59	0.9302884615	0.1932968193
60	0.930952381	0.190884374
61	0.9295942721	0.1897710567
62	0.9313609467	0.1875320901
63	0.9324796275	0.1855901376
64	0.9317919075	0.1833894942
65	0.9307958478	0.1822052402
66	0.9309551208	0.1810003429
67	0.9331026528	0.1801022197
68	0.9350348028	0.1790959078
69	0.93387471	0.178238416
70	0.9371362049	0.177250719
71	0.9352601156	0.1764449044
72	0.9386574074	0.1757355472
73	0.9385863268	0.17398472
74	0.9401611047	0.1725481431
75	0.9392898053	0.1711612184
76	0.9382857143	0.1701230897
77	0.938215103	0.1690336653
78	0.938215103	0.1684552154
79	0.9384965831	0.1676553435
80	0.9397042093	0.1669327334
81	0.9408418658	0.1663056358
82	0.9387755102	0.1654006994
83	0.9397727273	0.1640357524
84	0.9401129944	0.1622102426
85	0.9414414414	0.1608622816
86	0.9406494961	0.1597468248
87	0.9405829596	0.1590972759
88	0.9430167598	0.1583310595
89	0.9419642857	0.1571700603
90	0.9413716814	0.1557860299
91	0.9427942794	0.1543908871
92	0.9429824561	0.1539177738
93	0.9411123228	0.1535581554
94	0.9402173913	0.152452378
95	0.9414951246	0.1516661492
96	0.9397849462	0.1510757722
97	0.9409237379	0.1504851313
98	0.9421841542	0.1498282565
99	0.9422459893	0.1493680373
100	0.9416135881	0.1484364375
101	0.9418604651	0.1475322824
102	0.9421052632	0.1463224722
103	0.9422268908	0.1458780648
104	0.9421661409	0.1454299029
105	0.9414225941	0.1445993357
106	0.9424686192	0.1439310004
107	0.9425287356	0.1434132384
108	0.9426485923	0.1428719031
109	0.9427679501	0.1424803802
110	0.9427083333	0.142131857
111	0.9439834025	0.1413209608
112	0.9450777202	0.1407456735
113	0.9451345756	0.1400988956
114	0.9431818182	0.1396805482
115	0.9463364293	0.139216883
116	0.9465020576	0.1388677612
117	0.9455852156	0.1385322757
118	0.9446721311	0.1381577024
119	0.9477459016	0.1376455506
120	0.9467213115	0.1372837372
121	0.9468845761	0.136984944
122	0.9488752556	0.1365529401
123	0.948927477	0.135817779
124	0.9491353001	0.1348513157
125	0.9501525941	0.1344645886
126	0.9501525941	0.1340846006
127	0.950203252	0.1336474473
128	0.9503042596	0.1328585955
129	0.9503546099	0.1326394372
130	0.9504550051	0.1319365647
131	0.9495459132	0.1315495353
132	0.9496475327	0.1308518758
133	0.9496981891	0.1305407209
134	0.9506545821	0.1302022251
135	0.9508032129	0.129721762
136	0.9518555667	0.1292169275
137	0.9518072289	0.1288455967
138	0.951048951	0.1282969098
139	0.9501495513	0.1278718442
140	0.9494047619	0.1274553002
141	0.9512922465	0.1271697768
142	0.9495548961	0.1267999576
143	0.9495548961	0.1263573919
144	0.9496047431	0.1258954319
145	0.9515331355	0.1254094284
146	0.9516765286	0.1250047051
147	0.9508840864	0.124528509
148	0.9508840864	0.1241663149
149	0.9519136408	0.123244683
150	0.9520078355	0.1229897975
151	0.9519607843	0.1227110198
152	0.9509803922	0.1225551737
153	0.9509803922	0.1223916563
154	0.9501953125	0.1217832548
155	0.9502923977	0.1215034134
156	0.9512670565	0.1210623511
157	0.9541015625	0.1206641221
158	0.9531707317	0.1204029895
159	0.9541015625	0.1202054663
160	0.9514563107	0.1197037235
161	0.9532619279	0.1193474727
162	0.9533980583	0.1189458347
163	0.9535333979	0.1183104805
164	0.9526112186	0.1180565258
165	0.9526112186	0.1178382972
166	0.9526570048	0.1175969526
167	0.9535783366	0.1171860892
168	0.9527938343	0.1169217137
169	0.9528392685	0.1165457616
170	0.9537572254	0.1163474199
171	0.9537126326	0.1160982884
172	0.9527938343	0.1156054233
173	0.9538017324	0.1151828901
174	0.9519230769	0.1149645473
175	0.9519230769	0.114450732
176	0.9538461538	0.1141145047
177	0.9520153551	0.1139384726
178	0.9519692603	0.1137331246
179	0.9511025887	0.113616678
180	0.9511494253	0.1132242516
181	0.9502868069	0.1129357775
182	0.9512893983	0.1126169116
