iter	Passed	Remaining
0	4	4157
1	6	3269
2	8	2965
3	11	2778
4	13	2681
5	15	2620
6	18	2599
7	20	2571
8	23	2539
9	25	2509
10	27	2506
11	30	2494
12	32	2475
13	34	2462
14	37	2453
15	39	2438
16	41	2427
17	44	2415
18	46	2403
19	49	2402
20	51	2393
21	53	2387
22	56	2386
23	58	2383
24	60	2378
25	63	2375
26	65	2373
27	68	2369
28	70	2363
29	73	2364
30	75	2363
31	77	2359
32	80	2353
33	82	2355
34	85	2354
35	87	2352
36	90	2354
37	92	2350
38	95	2345
39	98	2355
40	100	2349
41	102	2344
42	105	2339
43	107	2338
44	110	2334
45	112	2331
46	115	2334
47	117	2335
48	120	2335
49	122	2331
50	125	2332
51	127	2331
52	130	2336
53	133	2338
54	136	2341
55	138	2343
56	141	2343
57	144	2345
58	146	2340
59	149	2336
60	151	2337
61	154	2334
62	156	2331
63	159	2328
64	161	2324
65	164	2321
66	166	2318
67	168	2315
68	171	2313
69	173	2307
70	176	2307
71	179	2307
72	181	2306
73	183	2302
74	186	2304
75	189	2299
76	191	2293
77	193	2289
78	196	2285
79	198	2282
80	200	2280
81	203	2278
82	206	2276
83	208	2274
84	210	2271
85	213	2268
86	215	2264
87	218	2261
88	220	2258
89	223	2258
90	225	2255
91	228	2253
92	230	2251
93	233	2249
94	235	2245
95	238	2243
96	241	2244
97	243	2240
98	245	2237
99	248	2235
100	250	2231
101	253	2227
102	255	2224
103	257	2221
104	260	2218
105	262	2213
106	264	2209
107	267	2208
108	269	2206
109	272	2203
110	274	2200
111	277	2197
112	279	2195
113	282	2193
114	285	2196
115	288	2200
116	291	2198
117	294	2200
118	297	2201
119	299	2199
120	302	2200
121	305	2199
122	308	2197
123	310	2194
124	313	2193
125	315	2191
126	318	2188
127	321	2186
128	323	2185
129	326	2184
130	329	2183
131	332	2184
132	335	2187
133	338	2185
134	341	2185
135	343	2183
136	346	2179
137	348	2177
138	351	2175
139	353	2173
140	356	2171
141	358	2168
142	361	2168
143	364	2169
144	368	2170
145	370	2169
146	373	2166
147	376	2165
148	378	2163
149	381	2161
150	384	2160
151	387	2159
152	389	2157
153	392	2156
154	395	2155
155	398	2155
156	401	2153
157	403	2152
158	406	2150
159	409	2148
160	411	2146
161	414	2144
162	417	2143
163	419	2140
164	422	2139
165	425	2139
166	428	2136
167	431	2137
168	434	2135
169	437	2133
170	439	2132
171	442	2129
172	445	2127
